4538,4539,4540,4541,4540,4541,4540,4541,4540,4541,4540,4541,4540,4541,4540,4541,4540,4541,4540,4541,4540,4541,4540,4541,4540,4541,4540,4541,4540,4541,4540,4541,4540,4541,4540,4541,4540,4541,4540,4541,4540,4541,4540,4541,4540,4541,4540,4541,4542,4543
4618,4619,4620,4621,4620,4621,4620,4621,4620,4621,4620,4621,4620,4621,4620,4621,4620,4621,4620,4621,4620,4621,4620,4621,4620,4621,4620,4621,4620,4621,4620,4621,4620,4621,4620,4621,4620,4621,4620,4621,4620,4621,4620,4621,4620,4621,4620,4621,4622,4623
4698,4699,5018,5019,5020,5021,5020,5021,5020,5021,5020,5021,5020,5021,5020,5021,5020,5021,5020,5021,5020,5021,5020,5021,5020,5021,5020,5021,5020,5021,5020,5021,5020,5021,5020,5021,5020,5021,5020,5021,5020,5021,5020,5021,5020,5021,5022,5023,4702,4703
4778,4779,5098,5099,5100,5100,5100,5101,5100,5101,5100,5101,5100,5101,5100,5101,5100,5101,5100,5101,5100,5101,5100,5101,5100,5101,5100,5101,5100,5101,5100,5101,5100,5101,5100,5101,5100,5101,5100,5101,5100,5101,5100,5101,5100,5101,5102,5103,4782,4783
4698,4699,5178,5179,3726,3728,3729,3728,3729,3728,3729,3728,3729,3728,3729,3728,3729,3728,3729,3728,3729,3728,3729,3728,3729,3728,3729,3728,3729,3728,3729,3728,3729,3728,3729,3728,3729,3728,3729,3728,3729,3728,3729,3728,3729,3727,5182,5183,4702,4703
4778,4779,5258,5259,3730,3671,3830,3831,3830,3831,3830,3831,3830,3831,3830,3831,3830,3831,3830,3831,3830,3831,3830,3831,3830,3831,3830,3831,3830,3831,3830,3831,3830,3831,3830,3831,3830,3831,3830,3831,3830,3831,3830,3831,3830,3731,5262,5263,4782,4783
4698,4699,5338,5179,3810,3751,3588,3589,3590,3591,3588,3589,3590,3591,3588,3589,3590,3591,3588,3589,3590,3591,3588,3589,3590,3591,3588,3589,3590,3591,3588,3589,3590,3591,3588,3589,3590,3591,3588,3589,3590,3591,3588,3589,3750,3811,5182,5343,4702,4703
4778,4779,5098,5259,3730,3831,3668,3669,3670,3671,3668,3669,3670,3671,3668,3669,3670,3671,3668,3669,3670,3671,3668,3669,3670,3671,3668,3669,3670,3671,3668,3669,3670,3671,3668,3669,3670,3671,3668,3669,3670,3671,3668,3669,3830,3731,5262,5103,4782,4783
4698,4699,5178,5179,3810,3751,3590,3591,3588,3589,3590,3591,3588,3589,3590,3591,3588,3589,3590,3591,3588,3589,3590,3591,3588,3589,3590,3591,3588,3589,3590,3591,3588,3589,3590,3591,3588,3589,3590,3591,3588,3589,3590,3591,3750,3811,5182,5183,4702,4703
4778,4779,5258,5259,3730,3831,3670,3671,3668,3669,3670,3671,3668,3669,3670,3671,3668,3669,3670,3671,3668,3669,3670,3671,3668,3669,3670,3671,3668,3669,3670,3671,3668,3669,3670,3671,3668,3669,3670,3671,3668,3669,3670,3671,3830,3731,5262,5263,4782,4783
4698,4699,5338,5179,3810,3751,3588,3589,3590,3591,3588,3589,3590,3591,3588,3589,3590,3591,3588,3589,3590,3591,3588,3589,3590,3591,3588,3589,3590,3591,3588,3589,3590,3591,3588,3589,3590,3591,3588,3589,3590,3591,3588,3589,3750,3811,5182,5343,4702,4703
4778,4779,5098,5259,3730,3831,3668,3669,3670,3671,3668,3669,3670,3671,3668,3669,3670,3671,3668,3669,3670,3671,3668,3669,3670,3671,3668,3669,3670,3671,3668,3669,3670,3671,3668,3669,3670,3671,3668,3669,3670,3671,3668,3669,3830,3731,5262,5103,4782,4783
4698,4699,5178,5179,3810,3751,3590,3591,3588,3589,3590,3591,3588,3589,3590,3591,3588,3589,3590,3591,3588,3589,3590,3591,3588,3589,3590,3591,3588,3589,3590,3591,3588,3589,3590,3591,3588,3589,3590,3591,3588,3589,3590,3591,3750,3811,5182,5183,4702,4703
